Title,ArticlesCount,isExtracted
Moroccan Arabic terms by root,1,False
Moroccan Arabic terms borrowed from Berber languages,16,False
Moroccan Arabic terms derived from Tashelhit,11,False
Moroccan Arabic terms borrowed from Tashelhit,1,False
Moroccan Arabic terms derived from Egyptian languages,1,False
Moroccan Arabic terms derived from Semitic languages,1,False
Moroccan Arabic terms derived from Proto-Semitic,1,False
Moroccan Arabic terms inherited from Proto-Semitic,1,False
Moroccan Arabic terms derived from West Semitic languages,1,False
Moroccan Arabic terms borrowed from Arabic,1232,False
Moroccan Arabic learned borrowings from Arabic,13,False
Moroccan Arabic semi-learned borrowings from Arabic,9,False
Moroccan Arabic terms inherited from Arabic,4,True
Moroccan Arabic terms derived from Northwest Semitic languages,1157,False
Moroccan Arabic terms derived from Eastern Aramaic languages,5,False
Moroccan Arabic terms derived from Canaanite languages,3,False
Moroccan Arabic terms derived from Punic,1,False
Moroccan Arabic terms derived from Indo-European languages,1,False
Moroccan Arabic terms derived from Gaulish,1,False
Moroccan Arabic terms derived from Proto-Celtic,1,False
Moroccan Arabic terms derived from Germanic languages,1,False
Moroccan Arabic terms borrowed from English,9,False
Moroccan Arabic terms derived from German,8,False
Moroccan Arabic terms derived from Hellenic languages,1,False
Moroccan Arabic terms derived from Indo-Iranian languages,12,False
Moroccan Arabic terms derived from Persian,4,False
Moroccan Arabic terms borrowed from Persian,13,False
Moroccan Arabic terms derived from Classical Persian,5,False
Moroccan Arabic terms derived from Italic languages,1,False
Moroccan Arabic terms borrowed from Latin,19,False
Moroccan Arabic terms derived from Late Latin,4,False
Moroccan Arabic terms derived from Vulgar Latin,2,False
Moroccan Arabic terms derived from Romance languages,3,False
Moroccan Arabic terms borrowed from Italian,4,False
Moroccan Arabic terms derived from Oïl languages,3,False
Moroccan Arabic terms borrowed from French,80,True
Moroccan Arabic terms derived from Middle French,71,False
Moroccan Arabic terms derived from West Iberian languages,1,False
Moroccan Arabic terms borrowed from Mozarabic,1,False
Moroccan Arabic terms derived from Old Galician-Portuguese,1,False
Moroccan Arabic terms borrowed from Old Galician-Portuguese,1,False
Moroccan Arabic terms derived from Old Spanish,1,False
Moroccan Arabic terms borrowed from Old Spanish,5,False
Moroccan Arabic terms derived from Portuguese,5,False
Moroccan Arabic terms borrowed from Portuguese,1,False
Moroccan Arabic terms derived from Spanish,1,True
Moroccan Arabic terms borrowed from Spanish,28,True
Moroccan Arabic terms derived from Proto-Indo-European,25,False
Moroccan Arabic terms derived from Sino-Tibetan languages,1,False
Moroccan Arabic terms derived from Turkic languages,1,False
Moroccan Arabic terms borrowed from Ottoman Turkish,12,False
Moroccan Arabic univerbations,11,False
Moroccan Arabic terms with unknown etymologies,4,False
Moroccan Arabic terms by lexical property,3,False
Moroccan Arabic terms with multiple genders,1,True
Moroccan Arabic terms by orthographic property,32,False
Moroccan Arabic terms by phonemic property,11,False
Moroccan Arabic 2-syllable words,534,False
Moroccan Arabic 3-syllable words,1046,False
Moroccan Arabic 4-syllable words,239,False
Moroccan Arabic 5-syllable words,13,False
Moroccan Arabic terms by semantic function,2,False
Moroccan Arabic ordinal numbers,62,False
Moroccan Arabic pro-forms,13,False
Moroccan Arabic interrogative pro-forms,6,False
Moroccan Arabic interrogative particles,1,False
Moroccan Arabic questions,1,False
Moroccan Arabic terms by usage,2,False
Moroccan Arabic dated terms,2,False
Moroccan Arabic derogatory terms,5,False
Moroccan Arabic informal terms,5,False
Moroccan Arabic childish terms,1,False
Moroccan Arabic nonstandard terms,2,False
Moroccan Arabic obsolete terms,1,False
Moroccan Arabic offensive terms,1,False
Moroccan Arabic ethnic slurs,2,False
Moroccan Arabic slang,2,False
Moroccan Arabic terms with archaic senses,7,False
Moroccan Arabic trademarks,1,False
Moroccan Arabic vulgarities,1,False
Terms derived from Moroccan Arabic,22,False
Central Atlas Tamazight terms borrowed from Moroccan Arabic,2,False
Dutch terms borrowed from Moroccan Arabic,72,False
English terms borrowed from Moroccan Arabic,8,False
French terms borrowed from Moroccan Arabic,11,False
Hebrew terms borrowed from Moroccan Arabic,20,False
Italian terms borrowed from Moroccan Arabic,2,False
Ladino terms borrowed from Moroccan Arabic,1,False
Norwegian Bokmål terms borrowed from Moroccan Arabic,1,False
Tarifit terms borrowed from Moroccan Arabic,1,False
Tashelhit terms borrowed from Moroccan Arabic,399,False
Catalan terms derived from Moroccan Arabic,2,False
Catalan terms borrowed from Moroccan Arabic,3,False
Central Atlas Tamazight terms derived from Moroccan Arabic,2,False
Central Atlas Tamazight terms borrowed from Moroccan Arabic,75,False
Dutch terms derived from Moroccan Arabic,72,False
Dutch terms borrowed from Moroccan Arabic,9,False
English terms derived from Moroccan Arabic,8,False
English terms borrowed from Moroccan Arabic,16,False
French terms derived from Moroccan Arabic,11,False
French terms borrowed from Moroccan Arabic,23,False
German terms derived from Moroccan Arabic,20,False
Hebrew terms derived from Moroccan Arabic,1,False
Hebrew terms borrowed from Moroccan Arabic,3,False
Italian terms derived from Moroccan Arabic,2,False
Italian terms borrowed from Moroccan Arabic,3,False
Ladino terms derived from Moroccan Arabic,1,False
Ladino terms borrowed from Moroccan Arabic,1,False
Norwegian Bokmål terms derived from Moroccan Arabic,1,False
Norwegian Bokmål terms borrowed from Moroccan Arabic,1,False
Portuguese terms derived from Moroccan Arabic,1,False
Tarifit terms derived from Moroccan Arabic,1,False
Tarifit terms borrowed from Moroccan Arabic,400,False
Tashelhit terms derived from Moroccan Arabic,399,False
Tashelhit terms borrowed from Moroccan Arabic,2,False
Wolof terms derived from Moroccan Arabic,2,False
User ary,1,False
User ary-0,2,False
User ary-2,1,False
